"","country","Sex","Year","Age","mu","delta","fx","spx","vs","sEx","ax","hp","hc","dp","dc","Hp","Hc","Dp","Dc","rho","phi","xt"
"3069","England and Wales","Males",1999,93,0.302645064082981,0.0468531832850749,0.0153627446399242,0.0584429622585706,0.240827022794177,0.014074644604004,3.00782587931001,0.0407442545346081,1.30226080544673,0.00547915482017246,1.30226080544673,0.0135460815118576,0.432957510740437,0.00182163298010767,0.432957510740437,0.00904909183471664,0.114367145705407,2
"3070","England and Wales","Males",1999,94,0.330833028498818,0.0468600361022358,0.0122294121362646,0.0430802176186464,0.229802976603997,0.00989996224151288,2.8544993393522,0.0279320540947638,0.894096111930611,0.00349566839751417,0.894096111930611,0.00978527257291385,0.313223443286386,0.00122461699301268,0.313223443286386,0.00807319631826924,0.114409730381676,2
"3071","England and Wales","Males",1999,95,0.360151283935436,0.0468723416422161,0.00941546186513536,0.0308508054823818,0.219281464243583,0.00676500979927063,2.71388719030042,0.0185828994057401,0.597097244685224,0.0021714302214138,0.597097244685224,0.0068473367176633,0.220015499103752,0.000800118084928,0.220015499103752,0.00697243740044527,0.11441416035886,2
"3072","England and Wales","Males",1999,96,0.389805530016904,0.046885022341617,0.00699271582969022,0.0214353436172464,0.209239064486749,0.00448511124542464,2.58510057003703,0.0119707114752071,0.387381940907835,0.0013108787101271,0.387381940907835,0.00463065600385351,0.149851787353204,0.000507090024009521,0.149851787353204,0.0057232770166915,0.114399760902437,2
"3073","England and Wales","Males",1999,97,0.419239073770759,0.0468955623924754,0.00500563500492191,0.0144426277875562,0.199654256904888,0.00288353211867842,2.46550137095765,0.0074511254318362,0.243858381054246,0.000767272023456664,0.243858381054246,0.00302215424400353,0.0989082317806729,0.00031120324348416,0.0989082317806729,0.00440114709257042,0.114379118508024,2
"3074","England and Wales","Males",1999,98,0.448906520833185,0.0469031489396927,0.00345977076800704,0.0094369927826343,0.190506782851675,0.00179781113481413,2.35053626673669,0.00447060711998717,0.148701821137858,0.000433874944796815,0.148701821137858,0.00190195198570318,0.0632629341832301,0.000184585513925797,0.0632629341832301,0.0033022946727169,0.114359270470565,2
"3075","England and Wales","Males",1999,99,0.479627830288349,0.0469079457966106,0.0023123163815225,0.00597722201462726,0.181777289206825,0.0010865232148063,2.23465923711753,0.00257360884351289,0.0875762425541779,0.000235670667134123,0.0875762425541779,0.00115167843077165,0.0391899763058022,0.000105461568018806,0.0391899763058022,0.00275284453465909,0.114343286734643,2
"3076","England and Wales","Males",1999,100,0.51248484978394,0.0469105608881367,0.00149510044847874,0.00366490563310476,0.173447159836258,0.000635667473129924,2.11035797835929,0.00140906808858521,0.0495479300359574,0.000121777746080625,0.0495479300359574,0.000667691502121689,0.0234784479903635,5.77047815249343e-05,0.0234784479903635,0.00307892145591847,0.114331757361329,2
"3077","England and Wales","Males",1999,101,0.548857050404181,0.04691170294927,0.000934468155753722,0.00216980518462601,0.165498456224383,0.000359099408363268,1.96552384641996,0.000721576876591387,0.0266639010032802,5.88478889855487e-05,0.0266639010032802,0.000367116826339034,0.0135657987827755,2.99400534329488e-05,0.0135657987827755,0.00460659443623185,0.114323970422578,2
"3078","England and Wales","Males",1999,102,0.589533220525555,0.0469119917562983,0.000562473739508735,0.00123533702887229,0.157913911320113,0.000195076902027791,1.77734543867546,0.000334183443798646,0.0133772228938393,2.57367435055223e-05,0.0133772228938393,0.000188023912812183,0.00752651825736725,1.44804397307831e-05,0.00752651825736725,0.00758791543368627,0.114318733632323,2
"3079","England and Wales","Males",1999,103,0.632419487216668,0.0469118775685787,0.000323300946898967,0.000672863289363557,0.150676941526171,0.00010138498250654,1.4957061315512,0.000129781050344935,0.00596430061678319,9.47146266499587e-06,0.00596430061678319,8.67690835835104e-05,0.00398761527479839,6.33243554011039e-06,0.00398761527479839,0.012055004834751,0.114314882501958,2
"3080","England and Wales","Males",1999,104,0.674124993107815,0.0469116296728757,0.00034956234246459,0.00034956234246459,0.143771657786034,5.02571574757034e-05,1,3.38796059369269e-05,0.00201028629902814,2.35764515991159e-06,0.00201028629902814,3.38796059369269e-05,0.00201028629902814,2.35764515991159e-06,0.00201028629902814,0.017999321064126,0.114311552973057,2
"3081","England and Wales","Males",2000,65,0.0178786588180711,0.0526915426014124,0.0177202516513486,1,1,1,10.6221935026875,3.68317927221101,89.1769776057806,4.48897311363189,89.1769776057806,0.346743756012273,8.39534485821769,0.422603213968581,8.39534485821769,0.0350969742102766,0.0504090762709178,1
"3082","England and Wales","Males",2000,66,0.0198625889094959,0.0525879370189253,0.019318758555854,0.982279748348651,0.948721737596908,0.931910149659587,10.3252373699356,3.49326869867693,88.1769776057806,3.92927335216459,88.1769776057806,0.338323330836772,8.53994677764298,0.380550413650112,8.53994677764298,0.0380080474631672,0.053570186299517,1
"3083","England and Wales","Males",2000,67,0.0221426831376322,0.0523972804315206,0.0210890559293251,0.962960989792797,0.900205373839079,0.866862657808875,10.0249829367363,3.30214702472543,86.3131573064614,3.42326204626135,86.3131573064614,0.329391785059781,8.60980590701743,0.341473104529374,8.60980590701743,0.0407962549863318,0.0566584035590393,1
"3084","England and Wales","Males",2000,68,0.0247380102271609,0.0520697975713196,0.0230153604218417,0.941871933863472,0.854391390459117,0.80472727120803,9.72182871778999,3.10972083406309,83.7125693330348,2.96791483238338,83.7125693330348,0.319869946728501,8.6107842220928,0.30528359617696,8.6107842220928,0.0431277437938411,0.0596662125483135,1
"3085","England and Wales","Males",2000,69,0.027662053749109,0.0516054973781862,0.0250707063095333,0.918856573441631,0.811230105110234,0.745404114654283,9.41595744647348,2.91618497289338,80.4936602482026,2.56055090046805,80.4936602482026,0.309706685641997,8.54864316303273,0.271937390862683,8.54864316303273,0.0446684915249253,0.0626233518571583,1
"3086","England and Wales","Males",2000,70,0.0309196252908837,0.0510388288208828,0.0272147885695415,0.893785867132097,0.770646351966013,0.68879281794413,9.10765784126617,2.72203349814987,76.7666396749312,2.19834773537696,76.7666396749312,0.298873052280964,8.42880145618853,0.241373553298895,8.42880145618853,0.0450844758186638,0.0655449444027342,1
"3087","England and Wales","Males",2000,71,0.0345058433305975,0.0504188380180138,0.0293946227480533,0.866571078562556,0.732527400817951,0.634787059803437,8.79743278500636,2.52806574336326,72.6338827672664,1.87816639617283,72.6338827672664,0.287364030523983,8.25625890442241,0.213490280866235,8.25625890442241,0.0440871620417377,0.0684102926609315,1
"3088","England and Wales","Males",2000,72,0.0384311776069677,0.0497941981935762,0.031567096711648,0.837176455814503,0.696727399875461,0.583283775296592,8.48593710512907,2.33536798235031,68.1903733486424,1.59660257216013,68.1903733486424,0.275204488722732,8.03569158053584,0.188146877873407,8.03569158053584,0.0418576133540223,0.0711717565306614,1
"3089","England and Wales","Males",2000,73,0.0427203890930777,0.0492030516775989,0.0336961881436733,0.805609359102854,0.663079972053527,0.53418343131998,8.17401926061799,2.14514482008125,63.5241031462697,1.35013575972198,63.5241031462697,0.262434519871571,7.77146482298195,0.16517403699143,7.77146482298195,0.0388539304164521,0.0737763715638071,1
"3090","England and Wales","Males",2000,74,0.0473999235680404,0.0486671155811561,0.0357415518907173,0.771913170959181,0.631413224594883,0.487396184382597,7.86268409106851,1.95860941709758,58.7164522643898,1.13529429250804,58.7164522643898,0.249101883582279,7.46773640964258,0.144390169992669,7.46773640964258,0.0355377945562104,0.076185446914352,1
"3091","England and Wales","Males",2000,75,0.0524978468138834,0.0481904322820491,0.0376589188111234,0.736171619068464,0.6015632880071,0.442853819704336,7.55293483263412,1.77696142853872,53.8424904205639,0.948790117209337,53.8424904205639,0.235267676461469,7.12868462573323,0.125618734734726,7.12868462573323,0.0323708871006558,0.0783838222715827,2
"3092","England and Wales","Males",2000,76,0.0580451066781504,0.047762789650394,0.0394017060859502,0.698512700257341,0.573383705599029,0.400515800481538,7.24563729425048,1.60136421348276,48.9710984038162,0.787600540595444,48.9710984038162,0.221010816364416,6.75870132813237,0.108699967802752,6.75870132813237,0.0297912985588087,0.0803773261734717,2
"3093","England and Wales","Males",2000,77,0.0640935647247086,0.0473662798747555,0.040933002154217,0.65911099417139,0.546749421300179,0.360368554635793,6.94143922449669,1.43291776544113,44.1649087980377,0.648993296581249,44.1649087980377,0.206429490930971,6.36250024954155,0.0934954950395473,6.36250024954155,0.0278841308963246,0.0821828967436303,2
"3094","England and Wales","Males",2000,78,0.0707210987590185,0.046982228439892,0.0422251232677338,0.618177992017173,0.52155584130985,0.322414342705751,6.64085799601771,1.27258922458134,39.4801175877724,0.530507664351341,39.4801175877724,0.19163024195736,5.94503264660187,0.0798854100884958,5.94503264660187,0.0264627547994788,0.0838180208086856,2
"3095","England and Wales","Males",2000,79,0.0780248401812157,0.0465961126038158,0.0432512929269593,0.57595286874944,0.497714777219417,0.286660253758511,6.34442166026489,1.12116772375122,34.9663167898919,0.429913645486426,34.9663167898919,0.176717088457896,5.51134818306385,0.0677624641784097,5.51134818306385,0.0253335510826371,0.0852940335691956,2
"3096","England and Wales","Males",2000,80,0.0861250817408857,0.0461996355553877,0.043984866643685,0.53270157582248,0.475149410198727,0.253112839563984,6.05276789578562,0.979264452274093,30.6664129835142,0.345169597293042,30.6664129835142,0.16178787442947,5.06651064628902,0.0570267360711741,5.06651064628902,0.0243029005599324,0.0866144873917827,2
"3097","England and Wales","Males",2000,81,0.095167831276956,0.0457904842351819,0.0443975023165661,0.488716709178795,0.453789866813876,0.221774690367962,5.76675556456911,0.847317961723806,26.6166075504905,0.274390218591544,26.6166075504905,0.146931485518429,4.61552553293963,0.0475813853247733,4.61552553293963,0.0231822380250804,0.0877780048441663,2
"3098","England and Wales","Males",2000,82,0.105262618009821,0.0453708994012581,0.0444317041933504,0.444319206862229,0.433570126215803,0.192643534599362,5.48757445501923,0.725605878047751,22.8464378142351,0.215827832814565,22.8464378142351,0.132227067531461,4.16330347797624,0.0393302787203474,4.16330347797624,0.0218992398014601,0.0887844007060692,2
"3099","England and Wales","Males",2000,83,0.116452855596669,0.0449462372690368,0.0440057443094644,0.399887502668879,0.414426228772804,0.165723869664438,5.2165219563312,0.614327949901413,19.3788541914466,0.167864179820138,19.3788541914466,0.117765813130685,3.71489938193912,0.0321793296808431,3.71489938193912,0.0204978237417662,0.0896416849742416,2
"3100","England and Wales","Males",2000,84,0.128757919053998,0.0445243069977519,0.043051015078313,0.355881758359414,0.396295327643892,0.141034278031528,4.95467020416171,0.513654199483686,16.2301006678223,0.12900805860392,16.2301006678223,0.103670714360007,3.27571765607925,0.0260376681571174,3.27571765607925,0.0190269616786576,0.0903708274335115,2
