"","country","Sex","Year","ax","rhobar","phibar","H","D","Dc","mort","int","adot"
"274","England and Wales","Males",1888,8.99156129471403,-0.0227541560496756,0.0110196689732873,0.588233627667539,0.193514045308884,7.12395786120673,-0.0133847597576139,0.00213246072098561,-0.0112522990366283
"275","England and Wales","Males",1889,8.91396282222536,-0.0207099705247809,0.0109063728109584,0.594983259236146,0.190306278941437,7.08269508137373,-0.0123220857615186,0.00207555122640155,-0.0102465345351171
"276","England and Wales","Males",1890,8.86848356991544,-0.0135426666720938,0.0111691566631986,0.600053369524318,0.187614009136367,7.06092168859811,-0.00812632276893455,0.00209549026025485,-0.0060308325086797
"277","England and Wales","Males",1891,8.88106337026257,-0.00121604599186686,0.0129866207884995,0.60211399823268,0.185505940023968,7.07284220587479,-0.000732198314197782,0.0024090952971054,0.00167689698290761
"278","England and Wales","Males",1892,8.96418103998885,0.0132186379873561,0.0161775200612619,0.600637101754868,0.183871272081097,7.12485182744089,0.00793960440987237,0.00297458119278169,0.0109141856026541
"279","England and Wales","Males",1893,9.09552970249854,0.0227635848764663,0.0185504840798327,0.596872683264671,0.182493578405204,7.20387081632591,0.0135869619859395,0.00338534422087743,0.016972306206817
"280","England and Wales","Males",1894,9.24688175472292,0.0264745008888172,0.0194739290656365,0.592316403781697,0.181208757565078,7.29381815853495,0.0156812811583796,0.00352884649089446,0.019210127649274
"281","England and Wales","Males",1895,9.38839073825513,0.0244385646630099,0.0183031616612464,0.588347714891508,0.17997596132422,7.37800955216343,0.0143783736747102,0.00329412911525544,0.0176725027899657
"282","England and Wales","Males",1896,9.48610558976622,0.0167331216403021,0.012723738086515,0.58606160627469,0.179140647119535,7.43780347631289,0.00980664014650521,0.00227933867459778,0.012085978821103
"283","England and Wales","Males",1897,9.51443652466098,0.00513510604196054,0.0030087713465022,0.58603340401182,0.179112881118648,7.45905952604194,0.0030093436737318,0.000538909704499245,0.00354825337823105
"284","England and Wales","Males",1898,9.48505650563371,-0.00391222326212749,-0.00681438031029238,0.587411004495188,0.180059215995675,7.44754541605537,-0.00229808299621575,-0.00122699197616761,-0.00352507497238336
"285","England and Wales","Males",1899,9.41907800778296,-0.00892952714005245,-0.015509305078609,0.589048072089328,0.182048363916229,7.41393851578122,-0.00525992074651723,-0.00282344361503843,-0.00808336436155566
"286","England and Wales","Males",1900,9.33865886787699,-0.0098791650290436,-0.0224768081060796,0.58983386300793,0.185070652744367,7.36950304819309,-0.00582706607237363,-0.00415979754780202,-0.00998686362017565
"287","England and Wales","Males",1901,9.26818797891857,-0.00672536722700774,-0.0260465747475254,0.588800137876548,0.188855933099738,7.32688534621616,-0.00395989715053258,-0.00491905017799597,-0.00887894732852855
"288","England and Wales","Males",1902,9.22859239853582,-0.000139505098226159,-0.026074372425538,0.585265136945394,0.193066378434497,7.29745551886938,-8.16474704179133e-05,-0.00503408465415093,-0.00511573212456885
"289","England and Wales","Males",1903,9.22087192374486,0.00596456393162118,-0.0234445946311279,0.579863888590032,0.197265097715447,7.28338387369452,0.00345863523513371,-0.00462480025080849,-0.00116616501567478
"290","England and Wales","Males",1904,9.23613879180645,0.0101834131365334,-0.0205285249936878,0.573504932095767,0.201316069341037,7.28192103990659,0.00584023765937076,-0.00413272196109847,0.00170751569827229
"291","England and Wales","Males",1905,9.2648883148418,0.0125752514624695,-0.0181101732190032,0.56696642994902,0.205215611880106,7.28975230220255,0.00712974542738754,-0.00371649027839244,0.0034132551489951
"292","England and Wales","Males",1906,9.29659299736478,0.0132002537553288,-0.0171318326232077,0.560863146843662,0.209136128824859,7.30282980389986,0.00740353586034857,-0.00358288515449309,0.00382065070585548
"293","England and Wales","Males",1907,9.32085313015079,0.0121075400435575,-0.017735922859503,0.555688461200887,0.213284754718543,7.3167685092755,0.0067280202957326,-0.0037828019567961,0.0029452183389365
"294","England and Wales","Males",1908,9.32904554939156,0.00961613355822424,-0.0198640232917869,0.55144944922058,0.217822707727477,7.32547545868296,0.00530281155431429,-0.00432683533977868,0.000975976214535604
"295","England and Wales","Males",1909,9.31326385272763,0.00592324770057423,-0.0235917994347112,0.547894502668969,0.22291210668322,7.32184504197133,0.00324531485309123,-0.00525889771243947,-0.00201358285934824
"296","England and Wales","Males",1910,9.26598187404778,0.00107616629080164,-0.0287838241998263,0.544784722936237,0.228705735288703,7.2989985374357,0.000586278954567688,-0.00658302567804204,-0.00599674672347435
"297","England and Wales","Males",1911,9.18068949735473,-0.0048577844857949,-0.0351454484214819,0.541894280379707,0.235315088765326,7.25057622123977,-0.00263240562816954,-0.0082702543149982,-0.0109026599431677
